wbic,elevation,area,elevation_ned,depth_ned,longitude,latitude,perimeter
1069100,503.0378,13423.59,503.4295,0.3917,-89.25026,45.32573,435.602
1069300,507.2692,3007.81,507.2692,0,-89.23308,45.33337,208.013
1069400,508.404,1161.45,508.404,0,-89.23162,45.33235,123.439
1069500,506.3367,6450.71,506.5363,0.1996,-89.23441,45.33059,332.363
1069600,506.0989,10990.97,506.1533,0.0544,-89.2228,45.3267,378.573
1069700,505.2113,7409.51,505.3321,0.1208,-89.23499,45.32445,375.107
1069750,506.0378,14588.72,506.0463,0.0085,-89.22528,45.32464,562.32
1069800,507.9012,2855,507.9012,0,-89.23241,45.32171,210.453
1069900,511.6115,1592.37,511.6115,0,-89.23556,45.32194,163.993
1070000,505.4305,2983.1,505.5004,0.0699,-89.21784,45.32599,218.697
1070100,505.3815,976.5,505.4748,0.0933,-89.21561,45.32677,124.934
1070200,505.9911,1466.82,506.2241,0.233,-89.17795,45.3297,144.503
1070300,506.1556,8397.06,506.3022,0.1466,-89.17836,45.32837,343.957
1070600,505.0472,3519.57,505.1265,0.0793,-89.22386,45.31891,230.975
1070700,505.2547,2560.02,505.2547,0,-89.22594,45.31613,189.573
1070800,506.1223,4197.2,506.134,0.0117,-89.23098,45.31532,313.443
1070900,505.6735,4005.37,505.8593,0.1858,-89.23754,45.31482,248.323
1071000,501.2449,55589.1,502.3885,1.1436,-89.23023,45.31095,1175.342
1071100,499.8951,665,500.3323,0.4372,-89.22652,45.30902,94.872
1071300,504.6245,2654.24,504.6245,0,-89.20105,45.3045,268.78
1071400,505.7387,2657.4,505.7387,0,-89.20472,45.30564,206.285
1071600,499.3395,11371.18,499.6609,0.3214,-89.21916,45.30552,415.11
1071700,498.9872,3526.55,500.1208,1.1336,-89.20173,45.29488,272.799
1071800,495.849,12196.13,495.8806,0.0316,-89.18029,45.30081,489.798
1071900,500.2136,6216.82,500.2136,0,-89.19699,45.30379,391.309
1072000,502.4093,13980.01,502.4093,0,-89.19892,45.3014,436.113
1072100,495.5427,36766.88,498.0195,2.4768,-89.18428,45.29449,1121.643
1072200,496.5036,23379.46,498.0249,1.5213,-89.1875,45.29471,790.51
1072300,499.4194,25828.61,500.7002,1.2808,-89.19419,45.29838,1216.943
1072350,501.6663,34231.27,501.6895,0.0232,-89.1967,45.29751,1153.182
1072400,498.9095,4959.82,498.9108,0.0013,-89.18979,45.29541,480.53
1072500,493.0473,25067.8,498.726,5.6787,-89.19952,45.29283,830.193
1072600,493.8871,24205.35,498.8163,4.9292,-89.19647,45.29387,674.252
1072700,509.0412,1334.05,509.0412,0,-89.11107,45.3483,142.301
1072800,505.4831,6546.5,507.0304,1.5473,-89.10523,45.34239,374.959
1073000,512.0001,11740.52,515.1353,3.1352,-89.17337,45.34508,646.293
1073100,512.2228,3450.93,512.2228,0,-89.13572,45.33303,243.994
1073200,502.1203,11472.41,502.8464,0.7261,-89.13731,45.33048,453.406
1073400,505.8089,7689.83,506.0279,0.219,-89.07406,45.32321,336.518
1073600,502.0089,27582.25,502.7012,0.6923,-89.08491,45.31956,1729.934
1073900,502.6403,1003.14,502.6866,0.0463,-89.08731,45.32062,120.378
1074000,495.6998,2788.51,495.6998,0,-89.11751,45.31635,192.469
1074100,490.4232,1254.38,490.9742,0.551,-89.12217,45.31116,133.674
1074300,493.799,346.49,493.799,0,-89.17173,45.30997,72.655
1074400,496.43,20838.87,496.8161,0.3861,-89.17034,45.30073,725.497
1074500,495.6277,9649.08,495.7249,0.0972,-89.17735,45.30242,414.393
1074600,496.2185,1143.35,496.2185,0,-89.17781,45.30031,133.88
1074700,494.3176,16858.6,495.2671,0.9495,-89.16758,45.29357,655.845
1074800,495.5004,20088.55,496.7066,1.2062,-89.16531,45.29378,767.186
1074900,496.5453,9546.05,496.7285,0.1832,-89.17261,45.29928,353.904
1075000,492.8714,21125.04,492.9017,0.0303,-89.1388,45.29973,630.333
1075200,499.4949,2596.87,499.4949,0,-89.1409,45.29482,223.14
1075300,490.9301,1273.1,491.2719,0.3418,-89.12247,45.30535,132.071
1075400,491.2134,5454.77,491.3481,0.1347,-89.12314,45.30658,282.752
1075500,493.4459,15898.45,493.7875,0.3416,-89.13003,45.29797,547.194
1075600,487.3705,15543.99,488.3225,0.952,-89.09809,45.29652,666.062
1075700,487.1691,12263.95,487.7306,0.5615,-89.09546,45.29566,443.866
1075800,487.6238,3880.82,488.3468,0.723,-89.09998,45.29471,237.367
1075900,489.3523,9654.01,489.4427,0.0904,-89.10257,45.29341,924.167
1076000,492.9777,8685.94,499.6422,6.6645,-89.11457,45.29255,539.385
1076100,478.0146,3534.74,478.0824,0.0678,-89.06522,45.29447,243.94
1076200,542.0164,3323.67,542.1519,0.1355,-90.19298,45.4337,217.386
1076300,543.4288,6487.91,543.4288,0,-90.20322,45.43423,377.001
1076400,537.021,2166.33,538.1996,1.1786,-90.20537,45.43455,182.184
1076500,438.9818,5335.02,439.0479,0.0661,-89.82007,45.44879,352.41
1076600,444.0602,4366.89,445.879,1.8188,-89.68058,45.45405,355.005
1076700,444.8777,396.77,448.7713,3.8936,-89.69114,45.45833,74.51
1076800,440.3848,2947.19,447.9117,7.5269,-89.70444,45.46422,254.312
1076900,437.2874,14237.89,443.5272,6.2398,-89.73204,45.46395,462.755
1077000,446.0284,2931,446.1118,0.0834,-89.7189,45.46044,228.566
1077100,439.848,2744.68,440.2849,0.4369,-89.73285,45.46017,206.959
1077200,438.5878,1095.13,438.5939,0.0061,-89.73043,45.45639,125.186
1077300,439.5262,12577.53,439.531,0.0048,-89.73233,45.45642,421.483
1077400,437.6991,650.52,437.7217,0.0226,-89.7428,45.46627,104.592
1077500,437.7011,5615.83,437.7217,0.0206,-89.74291,45.46528,319.195
1077600,438.236,2574.89,438.236,0,-89.74154,45.46493,294.672
1077700,439.3776,7887.51,439.4269,0.0493,-89.74529,45.46682,627.796
1077800,434.9152,20294.32,434.9217,0.0065,-89.73995,45.43607,568.023
1077900,447.148,7250.28,447.2391,0.0911,-89.63921,45.44376,323.551
1078000,463.3202,22190.48,463.3202,0,-89.59792,45.43876,1070.217
1078100,495.6466,22434.12,495.6466,0,-89.54974,45.44043,569.433
1078200,493.6154,2412.06,494.2425,0.6271,-89.5514,45.4333,223.7
1078300,486.2388,1677.24,486.2388,0,-89.56867,45.42586,195.932
1078400,463.4987,3021.9,463.4987,0,-89.60211,45.43673,241.117
1078500,445.2654,12451.7,445.2654,0,-89.64222,45.41381,407.317
1078600,456.2581,21935.72,459.0794,2.8213,-89.62814,45.42083,565.39
1078700,456.9529,28790.09,457.1369,0.184,-89.62423,45.41661,634.729
1078800,508.4202,4857.98,508.5003,0.0801,-89.54931,45.4083,277.463
1078900,493.4581,5003.6,493.7341,0.276,-89.56835,45.4023,382.186
1079000,504.3632,3279.07,505.5297,1.1665,-89.55682,45.40083,247.422
1079200,441.0661,4332.42,441.0661,0,-89.6487,45.4013,238.54
1079300,455.3475,10781.99,459.6548,4.3073,-89.61088,45.39253,477.579
1079500,459.0974,5672.63,459.0974,0,-89.60925,45.38996,293.478
1079600,522.4243,29814.58,522.4603,0.036,-89.44627,45.45294,744.642
1079700,522.132,6841.44,522.2016,0.0696,-89.46015,45.45677,301.39
1079800,523.2637,21478.21,523.3792,0.1155,-89.45736,45.45608,641.142
1079900,519.8884,1410.61,519.8884,0,-89.46849,45.46369,141.752
1080100,521.6978,56115.13,521.6985,0.0007,-89.47215,45.4608,1030.64
1080200,518.021,3123.85,518.021,0,-89.47924,45.46648,248.497
1080300,519.0131,1436.34,519.0131,0,-89.47788,45.46482,152.832
1080400,523.7021,6830.85,523.7021,0,-89.47677,45.4605,308.352
1080600,516.7574,3501.05,516.7574,0,-89.49751,45.45698,228.714
1080700,505.3775,28392.24,505.7677,0.3902,-89.51825,45.45295,881.186
1080800,493.1854,1095.95,493.1854,0,-89.54337,45.44961,144.92
1080900,512.4993,9325.58,513.3431,0.8438,-89.52889,45.44132,363.587
1081000,516.7143,634.55,516.7143,0,-89.53275,45.44061,93.043
1081100,507.3978,4020.31,507.4442,0.0464,-89.53437,45.43843,242.827
1081200,537.1466,875.22,537.1466,0,-89.5029,45.44218,119.419
1081400,535.3265,4757.7,535.3509,0.0244,-89.46692,45.44389,257.898
1081800,530.5086,9601.08,530.5086,0,-89.45305,45.4439,361.885
1082100,521.9809,664.96,522.021,0.0401,-89.44162,45.43144,95.373
1082200,523.021,484.58,523.021,0,-89.43871,45.42779,89.716
1082300,522.515,13802.54,522.515,0,-89.43531,45.42828,475.143
1082400,523.021,777.7,523.3435,0.3225,-89.44097,45.42992,103.782
1082500,522.522,5221.41,522.522,0,-89.44587,45.42441,281.295
1082600,531.1269,2512.01,532.4373,1.3104,-89.48469,45.43023,181.73
