lakeid,cuvette_use,a254_10,a280_10,a300_10,a320_10,a365_10,a400_10,a420_10,a440_10,a254_a365_10,S_10,a254_1,a280_1,a300_1,a320_1,a365_1,a400_1,a420_1,a440_1,a254_a365_1,S
1153600,10,51.20927194,39.00809885,28.51660963,21.1756244,10.99568789,6.3712495,4.753219275,3.57966805,4.657214031,14.46616294,53.03952938,39.5712975,28.77886375,21.32578,10.90686406,6.344765,4.71827125,3.5754075,4.862949522,14.50610709
1859800,10,51.85174561,39.0206502,29.7236695,22.3197548,10.91236248,5.983194,4.3943543,3.3098716,4.751651691,15.05155504,54.05359785,39.793537,29.7259725,22.237768,10.71499538,5.87265,4.2801255,3.217291,5.044668332,15.22631582
22177,10,53.23339016,42.14501515,31.80817238,24.4583206,13.20596336,7.9234715,5.985669725,4.56373995,4.0310115,13.4573273,54.83477545,42.658469,31.7756425,24.439436,13.35653638,7.89929,5.9521035,4.649757,4.105463715,13.28749055
1113900,10,53.86462519,40.7536577,30.89877525,23.4574368,12.18232304,7.160027,5.50382455,4.3013131,4.421539719,13.39890712,55.28184533,40.8678865,30.67308125,23.241876,11.92219919,7.012635,5.40801975,4.2179445,4.636883217,13.53824086
994200,10,55.61744978,42.4076788,32.17552447,23.90514617,11.56268819,6.102787693,4.384761551,3.211021318,4.810079532,16.05633872,,,,,,,,,,
994200,10,55.63199978,42.39963855,32.13021189,23.85704062,11.53405776,6.061770537,4.341121639,3.170293356,4.823280836,16.19418023,,,,,,,,,,
994200,10,55.69625275,42.41081249,32.21499211,23.8957638,11.57383912,6.117810123,4.395560285,3.225247757,4.812253925,16.03383981,61.17100716,44.89306274,33.82338678,25.51862734,12.88112589,7.218587603,5.425803875,4.255207869,4.748886678,14.09504492
1125400,10,55.96506482,43.2798184,32.516057,24.7208626,13.46713795,8.249346,6.3751646,4.9040082,4.155676212,13.0742148,59.4180909,45.083528,33.266835,25.296152,13.93142275,8.54413,6.630337,5.154114,4.265041121,12.83491975
1125000,10,57.45467401,44.76813215,34.70649788,26.1947826,13.14752473,7.4997195,5.650583225,4.34034895,4.36999931,14.18718929,59.0701076,44.526202,33.99228,25.531058,12.544441,7.02415,5.241628,3.965766,4.708867266,14.74219401
2561,10,58.06626445,44.5015599,32.58687425,23.9447516,11.66172989,6.485248,4.76594335,3.5625107,4.979215348,15.25718634,61.37201368,45.0800735,32.31396875,23.808414,11.51658331,6.298705,4.56397025,3.4049855,5.329012261,15.55163478
