lakeid,lakename,year4,daynum,sampledate,rep,station,depth,wtemp,o2,cond,alk,chlor,phaeo,ph,doc,dic,totnuf,totpuf,suva,flag_wtemp,flag_o2,flag_o2sat,flag_cond,flag_alk,flag_chlor,flag_phaeo,flag_ph,flag_doc,flag_dic,flag_totnuf,flag_totpuf,flag_suva
"BS","Big St Germain Lake",2001,221,2001-08-09,1,11,0.00,25.91,7.10,91.03,730.98,,,8.98,,,306,22,,,,,,,"U","U",,,,,,
"BS","Big St Germain Lake",2001,221,2001-08-09,1,11,3.00,25.62,7.22,,,,,,,,,,,,,,,,,,,,,,,
"BS","Big St Germain Lake",2001,221,2001-08-09,1,11,4.00,25.34,7.33,,,,,,,,,,,,,,,,,,,,,,,
"BS","Big St Germain Lake",2001,221,2001-08-09,1,11,6.00,22.55,4.89,,,,,,,,,,,,,,,,,,,,,,,
"BS","Big St Germain Lake",2001,221,2001-08-09,1,11,7.00,19.86,0.20,,,,,,,,,,,,,,,,,,,,,,,
"BS","Big St Germain Lake",2001,221,2001-08-09,1,11,9.00,18.04,0.12,,,,,,,,,,,,,,,,,,,,,,,
"BS","Big St Germain Lake",2001,221,2001-08-09,2,11,0.00,25.91,7.10,90.65,754.01,,,8.98,,,375,31,,,,,,,"U","U",,,,,,
"BR","Brandy Lake",2001,184,2001-07-03,1,11,0.00,21.70,9.20,,,,,,,,304,14,,,,,,,,,,,,,,
"BR","Brandy Lake",2001,184,2001-07-03,1,11,1.00,21.50,9.17,,,,,,,,,,,,,,,,,,,,,,,
"BR","Brandy Lake",2001,184,2001-07-03,1,11,3.00,21.20,9.00,,,,,,,,,,,,,,,,,,,,,,,
"BR","Brandy Lake",2001,184,2001-07-03,1,11,4.00,17.60,12.40,,,,,,,,,,,,,,,,,,,,,,,
"BR","Brandy Lake",2001,184,2001-07-03,1,11,6.00,10.80,2.83,,,,,,,,,,,,,,,,,,,,,,,
"BR","Brandy Lake",2001,184,2001-07-03,1,11,8.00,7.30,0.48,,,,,,,,,,,,,,,,,,,,,,,
"BR","Brandy Lake",2001,184,2001-07-03,1,11,9.00,6.60,0.46,,,,,,,,,,,,,,,,,,,,,,,
"BR","Brandy Lake",2001,184,2001-07-03,2,11,0.00,21.70,9.20,,,,,,,,311,16,,,,,,,"U","U",,,,,,
"BR","Brandy Lake",2001,215,2001-08-03,1,11,0.00,,,165.99,814.80,,,,,,281,10,,,"U",,,,,,,,,,,
"BR","Brandy Lake",2001,215,2001-08-03,1,11,1.00,25.38,,,,,,,,,,,,,"U",,,,,,,,,,,
"BR","Brandy Lake",2001,215,2001-08-03,1,11,3.00,23.23,,,,,,,,,,,,,"U",,,,,,,,,,,
"BR","Brandy Lake",2001,215,2001-08-03,1,11,5.00,17.12,,,,,,,,,,,,,"U",,,,,,,,,,,
"BR","Brandy Lake",2001,215,2001-08-03,1,11,6.00,13.58,,,,,,,,,,,,,"U",,,,,,,,,,,
"BR","Brandy Lake",2001,215,2001-08-03,1,11,11.00,6.20,,,,,,,,,,,,,"U",,,,,,,,,,,
"IN","Indian Lake",2001,167,2001-06-16,1,11,0.00,20.94,,,,,,,,,419,13,,,"U",,,,,,,,,,,
"IN","Indian Lake",2001,167,2001-06-16,1,11,1.00,21.11,,,,,,,,,,,,,"U",,,,,,,,,,,
"IN","Indian Lake",2001,167,2001-06-16,1,11,2.00,21.07,,,,,,,,,,,,,"U",,,,,,,,,,,
"IN","Indian Lake",2001,167,2001-06-16,1,11,3.00,17.96,,,,,,,,,,,,,"U",,,,,,,,,,,
"IN","Indian Lake",2001,167,2001-06-16,1,11,4.00,16.05,,,,,,,,,,,,,"U",,,,,,,,,,,
"IN","Indian Lake",2001,167,2001-06-16,1,11,5.00,14.00,,,,,,,,,,,,,"U",,,,,,,,,,,
"IN","Indian Lake",2001,167,2001-06-16,1,11,6.00,10.86,,,,,,,,,,,,,"U",,,,,,,,,,,
"IN","Indian Lake",2001,167,2001-06-16,1,11,7.00,9.51,,,,,,,,,,,,,"U",,,,,,,,,,,
"IN","Indian Lake",2001,167,2001-06-16,1,11,8.00,9.53,,,,,,,,,,,,,"U",,,,,,,,,,,
"IN","Indian Lake",2001,167,2001-06-16,1,11,9.00,9.54,,,,,,,,,,,,,"U",,,,,,,,,,,
"IN","Indian Lake",2001,222,2001-08-10,1,11,0.00,,,15.96,113.46,,,7.01,,,425,10,,,,,,,"U","U",,,,,,
"IN","Indian Lake",2001,222,2001-08-10,1,11,1.00,25.57,7.28,,,,,,,,,,,,,,,,,,,,,,,
"IN","Indian Lake",2001,222,2001-08-10,1,11,2.00,25.54,7.33,,,,,,,,,,,,,,,,,,,,,,,
"IN","Indian Lake",2001,222,2001-08-10,1,11,7.00,11.35,0.20,,,,,,,,,,,,,,,,,,,,,,,
"IN","Indian Lake",2001,222,2001-08-10,1,11,8.00,8.78,0.18,,,,,,,,,,,,,,,,,,,,,,,
"LC","Little Crooked Lake",2001,172,2001-06-21,1,11,0.00,20.20,9.22,,,,,,,,358,22,,,,,,,,,,,,,,
"LC","Little Crooked Lake",2001,172,2001-06-21,1,11,1.00,20.20,9.14,,,,,,,,,,,,,,,,,,,,,,,
"LC","Little Crooked Lake",2001,172,2001-06-21,1,11,3.00,19.20,7.85,,,,,,,,,,,,,,,,,,,,,,,
